DBID1,DBID2,DBKEY-pair,label
DB00945,DB06802,DB00945-DB06802,1
DB00945,DB11672,DB00945-DB11672,1
DB00459,DB00992,DB00459-DB00992,1
DB00210,DB00855,DB00210-DB00855,1
DB00210,DB00855,DB00210-DB00855,1
DB00210,DB00982,DB00210-DB00982,1
DB00210,DB00553,DB00210-DB00553,1
DB00210,DB00992,DB00210-DB00992,1
DB00210,DB09096,DB00210-DB09096,1
DB00210,DB09353,DB00210-DB09353,1
DB00210,DB11085,DB00210-DB11085,1
DB00210,DB00936,DB00210-DB00936,1
DB00640,DB01118,DB00640-DB01118,1
DB00640,DB06288,DB00640-DB06288,1
DB00640,DB00714,DB00640-DB00714,1
DB00640,DB01102,DB00640-DB01102,1
DB00640,DB08903,DB00640-DB08903,1
DB00640,DB01244,DB00640-DB01244,1
DB00640,DB00921,DB00640-DB00921,1
DB00640,DB01242,DB00640-DB01242,1
DB00640,DB01151,DB00640-DB01151,1
DB00640,DB00647,DB00640-DB00647,1
DB00640,DB01396,DB00640-DB01396,1
DB00640,DB04855,DB00640-DB04855,1
DB00640,DB01175,DB00640-DB01175,1
DB00640,DB04953,DB00640-DB04953,1
DB00640,DB01195,DB00640-DB01195,1
DB00640,DB11796,DB00640-DB11796,1
DB00640,DB01044,DB00640-DB01044,1
DB00640,DB01155,DB00640-DB01155,1
DB00640,DB01159,DB00640-DB01159,1
DB00640,DB04946,DB00640-DB04946,1
DB00640,DB01227,DB00640-DB01227,1
DB00640,DB01255,DB00640-DB01255,1
DB00640,DB14509,DB00640-DB14509,1
DB00640,DB04948,DB00640-DB04948,1
DB00640,DB00978,DB00640-DB00978,1
DB00640,DB01601,DB00640-DB01601,1
DB00640,DB00934,DB00640-DB00934,1
DB00640,DB00933,DB00640-DB00933,1
DB00640,DB01403,DB00640-DB01403,1
DB00640,DB00834,DB00640-DB00834,1
DB00640,DB01059,DB00640-DB01059,1
DB00640,DB01165,DB00640-DB01165,1
DB00640,DB14881,DB00640-DB14881,1
DB00640,DB01267,DB00640-DB01267,1
DB00640,DB00850,DB00640-DB00850,1
DB00640,DB05316,DB00640-DB05316,1
DB00640,DB01100,DB00640-DB01100,1
DB00640,DB11642,DB00640-DB11642,1
DB00640,DB01263,DB00640-DB01263,1
DB00640,DB01599,DB00640-DB01599,1
DB00640,DB01035,DB00640-DB01035,1
DB00640,DB01182,DB00640-DB01182,1
DB00640,DB00818,DB00640-DB00818,1
DB00640,DB01224,DB00640-DB01224,1
DB00640,DB00908,DB00640-DB00908,1
DB00640,DB08864,DB00640-DB08864,1
DB00640,DB00734,DB00640-DB00734,1
DB00640,DB01232,DB00640-DB01232,1
DB00640,DB15685,DB00640-DB15685,1
DB00640,DB01104,DB00640-DB01104,1
DB00640,DB01236,DB00640-DB01236,1
DB00640,DB01591,DB00640-DB01591,1
DB00640,DB01208,DB00640-DB01208,1
DB00640,DB06402,DB00640-DB06402,1
DB00640,DB00976,DB00640-DB00976,1
DB00640,DB04844,DB00640-DB04844,1
DB00640,DB00679,DB00640-DB00679,1
DB00640,DB00697,DB00640-DB00697,1
DB00640,DB00656,DB00640-DB00656,1
DB00640,DB00831,DB00640-DB00831,1
DB00640,DB00726,DB00640-DB00726,1
DB00640,DB11915,DB00640-DB11915,1
DB00640,DB00862,DB00640-DB00862,1
DB00640,DB09316,DB00640-DB09316,1
DB00518,DB11932,DB00518-DB11932,1
DB00630,DB00963,DB00630-DB00963,1
DB00630,DB00887,DB00630-DB00887,1
DB00630,DB14006,DB00630-DB14006,1
DB00630,DB11255,DB00630-DB11255,1
DB00630,DB11246,DB00630-DB11246,1
DB00630,DB00900,DB00630-DB00900,1
DB00630,DB00861,DB00630-DB00861,1
DB00630,DB00903,DB00630-DB00903,1
DB00630,DB00749,DB00630-DB00749,1
DB00630,DB13257,DB00630-DB13257,1
DB00630,DB00695,DB00630-DB00695,1
DB00630,DB01009,DB00630-DB01009,1
DB00630,DB11189,DB00630-DB11189,1
DB00630,DB00939,DB00630-DB00939,1
DB00630,DB00784,DB00630-DB00784,1
DB00630,DB00814,DB00630-DB00814,1
DB00630,DB00788,DB00630-DB00788,1
DB00630,DB00452,DB00630-DB00452,1
DB00630,DB00955,DB00630-DB00955,1
DB00630,DB00991,DB00630-DB00991,1
DB00630,DB11071,DB00630-DB11071,1
DB00630,DB00812,DB00630-DB00812,1
DB00630,DB12615,DB00630-DB12615,1
DB00630,DB00881,DB00630-DB00881,1
DB00630,DB00936,DB00630-DB00936,1
DB00630,DB01399,DB00630-DB01399,1
DB00630,DB11135,DB00630-DB11135,1
DB00630,DB00684,DB00630-DB00684,1
DB00802,DB11932,DB00802-DB11932,1
DB00802,DB01193,DB00802-DB01193,1
DB00802,DB11640,DB00802-DB11640,1
DB00802,DB01118,DB00802-DB01118,1
DB00802,DB01351,DB00802-DB01351,1
DB00802,DB00964,DB00802-DB00964,1
DB00802,DB01238,DB00802-DB01238,1
DB00802,DB06413,DB00802-DB06413,1
DB00802,DB09009,DB00802-DB09009,1
DB00802,DB01072,DB00802-DB01072,1
DB00802,DB00972,DB00802-DB00972,1
DB00802,DB08822,DB00802-DB08822,1
DB00802,DB00865,DB00802-DB00865,1
DB00802,DB01244,DB00802-DB01244,1
DB00802,DB00810,DB00802-DB00810,1
DB00802,DB08873,DB00802-DB08873,1
DB00802,DB11859,DB00802-DB11859,1
DB00802,DB09128,DB00802-DB09128,1
DB00802,DB05541,DB00802-DB05541,1
DB00802,DB01200,DB00802-DB01200,1
DB00802,DB00887,DB00802-DB00887,1
DB00802,DB00921,DB00802-DB00921,1
DB00802,DB09061,DB00802-DB09061,1
DB00802,DB01197,DB00802-DB01197,1
DB00802,DB01136,DB00802-DB01136,1
DB00802,DB06119,DB00802-DB06119,1
DB00802,DB01563,DB00802-DB01563,1
DB00802,DB01178,DB00802-DB01178,1
DB00802,DB00880,DB00802-DB00880,1
DB00802,DB04920,DB00802-DB04920,1
DB00802,DB01242,DB00802-DB01242,1
DB00802,DB01068,DB00802-DB01068,1
DB00802,DB00872,DB00802-DB00872,1
DB00802,DB00924,DB00802-DB00924,1
DB00802,DB01764,DB00802-DB01764,1
DB00802,DB01406,DB00802-DB01406,1
DB00802,DB01219,DB00802-DB01219,1
DB00802,DB01264,DB00802-DB01264,1
DB00802,DB01189,DB00802-DB01189,1
DB00802,DB01151,DB00802-DB01151,1
DB00802,DB06700,DB00802-DB06700,1
DB00802,DB01576,DB00802-DB01576,1
DB00802,DB01209,DB00802-DB01209,1
DB00802,DB00829,DB00802-DB00829,1
DB00802,DB01495,DB00802-DB01495,1
DB00802,DB01551,DB00802-DB01551,1
DB00802,DB00985,DB00802-DB00985,1
DB00802,DB04855,DB00802-DB04855,1
DB00802,DB11952,DB00802-DB11952,1
DB00802,DB00876,DB00802-DB00876,1
DB00802,DB12147,DB00802-DB12147,1
DB00802,DB11823,DB00802-DB11823,1
DB00802,DB14575,DB00802-DB14575,1
DB00802,DB01215,DB00802-DB01215,1
DB00802,DB08987,DB00802-DB08987,1
DB00802,DB06414,DB00802-DB06414,1
DB00802,DB04953,DB00802-DB04953,1
DB00802,DB00949,DB00802-DB00949,1
DB00802,DB01023,DB00802-DB01023,1
DB00802,DB00813,DB00802-DB00813,1
DB00802,DB06702,DB00802-DB06702,1
DB00802,DB01148,DB00802-DB01148,1
DB00802,DB04908,DB00802-DB04908,1
DB00802,DB01319,DB00802-DB01319,1
DB00802,DB06717,DB00802-DB06717,1
DB00802,DB01320,DB00802-DB01320,1
DB00802,DB06716,DB00802-DB06716,1
DB00802,DB00996,DB00802-DB00996,1
DB00802,DB01159,DB00802-DB01159,1
DB00802,DB01275,DB00802-DB01275,1
DB00802,DB04946,DB00802-DB04946,1
DB00802,DB00808,DB00802-DB00808,1
DB00802,DB01029,DB00802-DB01029,1
DB00802,DB06636,DB00802-DB06636,1
DB00802,DB01247,DB00802-DB01247,1
DB00802,DB00951,DB00802-DB00951,1
DB00802,DB00883,DB00802-DB00883,1
DB00802,DB01020,DB00802-DB01020,1
DB00802,DB01167,DB00802-DB01167,1
DB00802,DB01322,DB00802-DB01322,1
DB00802,DB01221,DB00802-DB01221,1
DB00802,DB11732,DB00802-DB11732,1
DB00802,DB11951,DB00802-DB11951,1
DB00802,DB11560,DB00802-DB11560,1
DB00802,DB12070,DB00802-DB12070,1
DB00802,DB01227,DB00802-DB01227,1
DB00802,DB09237,DB00802-DB09237,1
DB00802,DB01202,DB00802-DB01202,1
DB00802,DB01002,DB00802-DB01002,1
DB00802,DB08918,DB00802-DB08918,1
DB00802,DB00854,DB00802-DB00854,1
DB00802,DB01255,DB00802-DB01255,1
DB00802,DB14509,DB00802-DB14509,1
DB00802,DB04948,DB00802-DB04948,1
DB00802,DB08827,DB00802-DB08827,1
DB00802,DB06448,DB00802-DB06448,1
DB00802,DB06077,DB00802-DB06077,1
DB00802,DB08815,DB00802-DB08815,1
DB00802,DB00934,DB00802-DB00934,1
DB00802,DB00961,DB00802-DB00961,1
DB00802,DB00933,DB00802-DB00933,1
DB00802,DB01577,DB00802-DB01577,1
DB00802,DB01403,DB00802-DB01403,1
DB00802,DB01028,DB00802-DB01028,1
DB00802,DB05246,DB00802-DB05246,1
DB00802,DB00849,DB00802-DB00849,1
DB00802,DB00834,DB00802-DB00834,1
DB00802,DB01226,DB00802-DB01226,1
DB00802,DB01618,DB00802-DB01618,1
DB00802,DB00844,DB00802-DB00844,1
DB00802,DB04861,DB00802-DB04861,1
DB00802,DB01149,DB00802-DB01149,1
DB00802,DB06690,DB00802-DB06690,1
DB00802,DB14881,DB00802-DB14881,1
DB00802,DB11632,DB00802-DB11632,1
DB00802,DB01173,DB00802-DB01173,1
DB00802,DB00842,DB00802-DB00842,1
DB00802,DB01062,DB00802-DB01062,1
DB00802,DB01192,DB00802-DB01192,1
DB00802,DB01267,DB00802-DB01267,1
DB00802,DB01337,DB00802-DB01337,1
DB00802,DB09117,DB00802-DB09117,1
DB00802,DB01186,DB00802-DB01186,1
DB00802,DB00850,DB00802-DB00850,1
DB00802,DB01174,DB00802-DB01174,1
DB00802,DB00925,DB00802-DB00925,1
DB00802,DB00832,DB00802-DB00832,1
DB00802,DB00812,DB00802-DB00812,1
DB00802,DB05316,DB00802-DB05316,1
DB00802,DB01100,DB00802-DB01100,1
DB00802,DB00960,DB00802-DB00960,1
DB00802,DB01338,DB00802-DB01338,1
DB00802,DB01324,DB00802-DB01324,1
DB00802,DB01263,DB00802-DB01263,1
DB00802,DB00818,DB00802-DB00818,1
DB00802,DB01589,DB00802-DB01589,1
DB00802,DB01224,DB00802-DB01224,1
DB00802,DB00881,DB00802-DB00881,1
DB00802,DB04834,DB00802-DB04834,1
DB00802,DB01367,DB00802-DB01367,1
DB00802,DB00899,DB00802-DB00899,1
DB00802,DB12404,DB00802-DB12404,1
DB00802,DB01045,DB00802-DB01045,1
DB00802,DB05271,DB00802-DB05271,1
DB00802,DB06201,DB00802-DB06201,1
DB00802,DB06654,DB00802-DB06654,1
DB00802,DB01232,DB00802-DB01232,1
DB00802,DB01037,DB00802-DB01037,1
DB00802,DB15685,DB00802-DB15685,1
DB00802,DB01104,DB00802-DB01104,1
DB00802,DB01236,DB00802-DB01236,1
DB00802,DB06207,DB00802-DB06207,1
DB00802,DB09072,DB00802-DB09072,1
DB00802,DB01591,DB00802-DB01591,1
DB00802,DB09118,DB00802-DB09118,1
DB00802,DB01138,DB00802-DB01138,1
DB00802,DB09034,DB00802-DB09034,1
DB00802,DB06204,DB00802-DB06204,1
DB00802,DB09071,DB00802-DB09071,1
DB00802,DB12887,DB00802-DB12887,1
DB00802,DB05521,DB00802-DB05521,1
DB00802,DB00976,DB00802-DB00976,1
DB00802,DB00966,DB00802-DB00966,1
DB00802,DB12095,DB00802-DB12095,1
DB00802,DB01162,DB00802-DB01162,1
DB00802,DB04844,DB00802-DB04844,1
DB00802,DB01623,DB00802-DB01623,1
DB00802,DB00906,DB00802-DB00906,1
DB00802,DB01036,DB00802-DB01036,1
DB00802,DB00831,DB00802-DB00831,1
DB00802,DB01116,DB00802-DB01116,1
DB00802,DB13179,DB00802-DB13179,1
DB00802,DB01199,DB00802-DB01199,1
DB00802,DB11652,DB00802-DB11652,1
DB00802,DB11915,DB00802-DB11915,1
DB00802,DB01339,DB00802-DB01339,1
DB00802,DB01080,DB00802-DB01080,1
DB00802,DB06684,DB00802-DB06684,1
DB00802,DB09068,DB00802-DB09068,1
DB00802,DB14975,DB00802-DB14975,1
DB00802,DB00962,DB00802-DB00962,1
DB00802,DB06283,DB00802-DB06283,1
DB00802,DB00909,DB00802-DB00909,1
DB00802,DB15779,DB00802-DB15779,1
DB00346,DB11932,DB00346-DB11932,1
DB00346,DB01193,DB00346-DB01193,1
DB00346,DB00640,DB00346-DB00640,1
DB00346,DB00404,DB00346-DB00404,1
DB00346,DB01118,DB00346-DB01118,1
DB00346,DB06288,DB00346-DB06288,1
DB00346,DB00543,DB00346-DB00543,1
DB00346,DB00701,DB00346-DB00701,1
DB00346,DB00714,DB00346-DB00714,1
DB00346,DB00964,DB00346-DB00964,1
DB00346,DB01274,DB00346-DB01274,1
DB00346,DB01238,DB00346-DB01238,1
DB00346,DB06413,DB00346-DB06413,1
DB00346,DB01072,DB00346-DB01072,1
DB00346,DB06237,DB00346-DB06237,1
DB00346,DB08903,DB00346-DB08903,1
DB00346,DB00542,DB00346-DB00542,1
DB00346,DB00436,DB00346-DB00436,1
DB00346,DB00562,DB00346-DB00562,1
DB00346,DB01244,DB00346-DB01244,1
DB00346,DB00612,DB00346-DB00612,1
DB00346,DB08873,DB00346-DB08873,1
DB00346,DB09128,DB00346-DB09128,1
DB00346,DB00484,DB00346-DB00484,1
DB00346,DB00921,DB00346-DB00921,1
DB00346,DB00490,DB00346-DB00490,1
DB00346,DB00611,DB00346-DB00611,1
DB00346,DB01197,DB00346-DB01197,1
DB00346,DB00395,DB00346-DB00395,1
DB00346,DB00521,DB00346-DB00521,1
DB00346,DB00521,DB00346-DB00521,1
DB00346,DB01136,DB00346-DB01136,1
DB00346,DB01563,DB00346-DB01563,1
DB00346,DB01178,DB00346-DB01178,1
DB00346,DB00880,DB00346-DB00880,1
DB00346,DB00477,DB00346-DB00477,1
DB00346,DB00356,DB00346-DB00356,1
DB00346,DB00537,DB00346-DB00537,1
DB00346,DB00349,DB00346-DB00349,1
DB00346,DB01242,DB00346-DB01242,1
DB00346,DB01068,DB00346-DB01068,1
DB00346,DB00628,DB00346-DB00628,1
DB00346,DB00363,DB00346-DB00363,1
DB00346,DB00872,DB00346-DB00872,1
DB00346,DB00924,DB00346-DB00924,1
DB00346,DB01764,DB00346-DB01764,1
DB00346,DB01406,DB00346-DB01406,1
DB00346,DB00705,DB00346-DB00705,1
DB00346,DB01151,DB00346-DB01151,1
DB00346,DB00633,DB00346-DB00633,1
DB00346,DB00647,DB00346-DB00647,1
DB00346,DB01209,DB00346-DB01209,1
DB00346,DB01452,DB00346-DB01452,1
DB00346,DB01495,DB00346-DB01495,1
DB00346,DB01551,DB00346-DB01551,1
DB00346,DB00985,DB00346-DB00985,1
DB00346,DB00843,DB00346-DB00843,1
DB00346,DB00590,DB00346-DB00590,1
DB00346,DB04855,DB00346-DB04855,1
DB00346,DB11952,DB00346-DB11952,1
DB00346,DB00625,DB00346-DB00625,1
DB00346,DB00584,DB00346-DB00584,1
DB00346,DB01175,DB00346-DB01175,1
DB00346,DB06414,DB00346-DB06414,1
DB00346,DB04953,DB00346-DB04953,1
DB00346,DB00800,DB00346-DB00800,1
DB00346,DB00813,DB00346-DB00813,1
DB00346,DB01195,DB00346-DB01195,1
DB00346,DB00472,DB00346-DB00472,1
DB00346,DB00623,DB00346-DB00623,1
DB00346,DB01319,DB00346-DB01319,1
DB00346,DB06717,DB00346-DB06717,1
DB00346,DB00529,DB00346-DB00529,1
DB00346,DB01044,DB00346-DB01044,1
DB00346,DB01155,DB00346-DB01155,1
DB00346,DB01018,DB00346-DB01018,1
DB00346,DB00801,DB00346-DB00801,1
DB00346,DB00502,DB00346-DB00502,1
DB00346,DB01159,DB00346-DB01159,1
DB00346,DB00999,DB00346-DB00999,1
DB00346,DB00774,DB00346-DB00774,1
DB00346,DB00557,DB00346-DB00557,1
DB00346,DB04946,DB00346-DB04946,1
DB00346,DB00458,DB00346-DB00458,1
DB00346,DB00808,DB00346-DB00808,1
DB00346,DB06636,DB00346-DB06636,1
DB00346,DB01247,DB00346-DB01247,1
DB00346,DB00598,DB00346-DB00598,1
DB00346,DB12070,DB00346-DB12070,1
DB00346,DB01227,DB00346-DB01227,1
DB00346,DB09351,DB00346-DB09351,1
DB00346,DB01210,DB00346-DB01210,1
DB00346,DB01235,DB00346-DB01235,1
DB00346,DB00854,DB00346-DB00854,1
DB00346,DB13139,DB00346-DB13139,1
DB00346,DB00601,DB00346-DB00601,1
DB00346,DB01255,DB00346-DB01255,1
DB00346,DB14509,DB00346-DB14509,1
DB00346,DB04948,DB00346-DB04948,1
DB00346,DB00978,DB00346-DB00978,1
DB00346,DB06448,DB00346-DB06448,1
DB00346,DB00408,DB00346-DB00408,1
DB00346,DB06077,DB00346-DB06077,1
DB00346,DB00934,DB00346-DB00934,1
DB00346,DB00454,DB00346-DB00454,1
DB00346,DB00371,DB00346-DB00371,1
DB00346,DB00933,DB00346-DB00933,1
DB00346,DB00660,DB00346-DB00660,1
DB00346,DB00423,DB00346-DB00423,1
DB00346,DB01403,DB00346-DB01403,1
DB00346,DB00849,DB00346-DB00849,1
DB00346,DB01214,DB00346-DB01214,1
DB00346,DB00524,DB00346-DB00524,1
DB00346,DB00683,DB00346-DB00683,1
DB00346,DB00370,DB00346-DB00370,1
DB00346,DB00745,DB00346-DB00745,1
DB00346,DB00691,DB00346-DB00691,1
DB00346,DB01618,DB00346-DB01618,1
DB00346,DB01203,DB00346-DB01203,1
DB00346,DB00844,DB00346-DB00844,1
DB00346,DB04861,DB00346-DB04861,1
DB00346,DB01149,DB00346-DB01149,1
DB00346,DB01115,DB00346-DB01115,1
DB00346,DB00540,DB00346-DB00540,1
DB00346,DB01165,DB00346-DB01165,1
DB00346,DB14881,DB00346-DB14881,1
DB00346,DB00768,DB00346-DB00768,1
DB00346,DB01173,DB00346-DB01173,1
DB00346,DB00842,DB00346-DB00842,1
DB00346,DB00497,DB00346-DB00497,1
DB00346,DB01192,DB00346-DB01192,1
DB00346,DB01267,DB00346-DB01267,1
DB00346,DB09117,DB00346-DB09117,1
DB00346,DB01359,DB00346-DB01359,1
DB00346,DB00556,DB00346-DB00556,1
DB00346,DB00790,DB00346-DB00790,1
DB00346,DB00850,DB00346-DB00850,1
DB00346,DB00780,DB00346-DB00780,1
DB00346,DB01174,DB00346-DB01174,1
