label,DBID1,DBID2
0,DB00126,DB00977
0,DB01285,DB11601
0,DB00107,DB04953
0,DB00279,DB00668
1,DB00854,DB00956
0,DB00455,DB12267
0,DB00747,DB01151
0,DB00357,DB04855
1,DB00199,DB00661
1,DB00631,DB10343
0,DB00839,DB06414
0,DB00486,DB11632
0,DB01268,DB06589
0,DB00051,DB12834
1,DB05521,DB09075
0,DB00747,DB00752
0,DB00619,DB00715
1,DB00468,DB04868
0,DB06605,DB11979
0,DB00624,DB00631
0,DB00884,DB01082
0,DB00208,DB00318
0,DB00741,DB01432
0,DB00197,DB06616
0,DB00564,DB01285
0,DB00997,DB08908
0,DB00242,DB14569
0,DB00559,DB01609
0,DB01026,DB11113
1,DB02701,DB08827
0,DB00357,DB00673
0,DB00863,DB01339
0,DB00804,DB09076
0,DB00762,DB06210
0,DB00951,DB05109
0,DB00741,DB00872
0,DB00897,DB06287
0,DB04946,DB09039
0,DB00372,DB00934
0,DB00334,DB00366
0,DB00486,DB00683
0,DB00197,DB00675
0,DB00395,DB01142
0,DB00277,DB00401
0,DB00197,DB13879
1,DB00682,DB11095
0,DB00095,DB04572
0,DB00099,DB15035
0,DB00533,DB06228
0,DB00238,DB00358
0,DB00381,DB01234
0,DB00959,DB01307
1,DB06717,DB12371
0,DB01267,DB11057
0,DB00602,DB06414
0,DB00045,DB11714
1,DB08875,DB11718
0,DB00609,DB12834
0,DB00773,DB01263
0,DB00041,DB00344
1,DB00771,DB00909
1,DB00199,DB00204
0,DB00451,DB11209
1,DB00199,DB01113
1,DB00294,DB11718
0,DB01105,DB12825
0,DB00997,DB01320
0,DB01119,DB11362
0,DB00615,DB00916
0,DB00262,DB14761
1,DB08826,DB14811
0,DB00501,DB00963
0,DB00556,DB00694
0,DB00218,DB00361
1,DB00571,DB05039
0,DB06228,DB12070
0,DB11942,DB14409
0,DB01105,DB06282
0,DB00039,DB00544
0,DB00719,DB00949
0,DB00442,DB01137
1,DB04855,DB11730
1,DB00569,DB01009
1,DB00193,DB00372
0,DB00623,DB00665
0,DB00835,DB00854
0,DB00908,DB01609
0,DB00792,DB13913
0,DB00206,DB01156
0,DB08864,DB08909
0,DB00091,DB00966
0,DB00745,DB00959
1,DB01259,DB06708
0,DB00904,DB01609
1,DB00872,DB11978
0,DB00180,DB01264
1,DB00574,DB01579
0,DB00479,DB01181
0,DB00692,DB01224
0,DB00333,DB00446
1,DB01020,DB09112
0,DB00241,DB00348
0,DB00446,DB08932
0,DB06228,DB09039
0,DB00518,DB01610
0,DB00350,DB06077
0,DB00368,DB01168
0,DB00994,DB01250
1,DB00529,DB09133
0,DB01395,DB09043
1,DB04845,DB15982
0,DB09065,DB11796
0,DB11363,DB14761
1,DB00668,DB01159
0,DB08916,DB11652
0,DB00927,DB09330
0,DB00877,DB11978
0,DB00712,DB09413
1,DB09053,DB11967
0,DB00401,DB09333
0,DB00092,DB04868
0,DB06204,DB12612
0,DB00283,DB05271
0,DB00294,DB06697
0,DB01088,DB04932
0,DB01249,DB09420
0,DB00243,DB06626
0,DB00894,DB00977
1,DB09053,DB15982
0,DB00836,DB14881
1,DB01045,DB09053
0,DB01012,DB11652
0,DB06605,DB06717
0,DB00641,DB06292
1,DB00539,DB00845
0,DB00956,DB12825
0,DB01395,DB13620
0,DB11986,DB12095
1,DB00619,DB11986
0,DB11569,DB14219
1,DB00615,DB08881
0,DB00977,DB01303
0,DB00856,DB01221
0,DB00262,DB12674
0,DB00047,DB01299
0,DB00526,DB00900
0,DB00457,DB00959
1,DB01344,DB04855
1,DB01137,DB15685
0,DB00374,DB06237
0,DB00397,DB06655
0,DB06616,DB10795
1,DB00608,DB01242
0,DB00247,DB09272
1,DB00295,DB01178
0,DB00575,DB11130
1,DB00055,DB00078
0,DB11569,DB11581
1,DB00273,DB00986
0,DB00557,DB06282
0,DB01016,DB04946
0,DB00261,DB00501
1,DB06448,DB11703
0,DB00091,DB01254
0,DB00862,DB01259
0,DB00285,DB08871
0,DB00993,DB13890
1,DB06782,DB09507
0,DB06589,DB12245
0,DB00585,DB09481
0,DB00691,DB09038
0,DB04871,DB09045
0,DB00412,DB00687
0,DB01119,DB01235
0,DB00176,DB00434
0,DB00023,DB00323
0,DB00759,DB01164
0,DB00431,DB00708
1,DB01069,DB08947
1,DB00794,DB09570
1,DB01320,DB05109
0,DB01238,DB06287
1,DB01026,DB04835
0,DB00433,DB00938
0,DB00373,DB09291
0,DB00199,DB09082
1,DB01590,DB04855
1,DB01097,DB12530
0,DB00731,DB01097
0,DB00921,DB05039
1,DB00604,DB08881
0,DB00765,DB01069
0,DB01309,DB06791
0,DB01590,DB11294
0,DB00348,DB01132
0,DB00290,DB06643
1,DB06212,DB09280
0,DB00023,DB08870
0,DB00030,DB00880
0,DB13139,DB13867
0,DB03128,DB06691
0,DB00277,DB01284
0,DB01344,DB11189
0,DB00912,DB15685
0,DB01192,DB06691
1,DB00682,DB06718
0,DB05109,DB14444
1,DB00067,DB06663
1,DB00697,DB00787
1,DB01244,DB12612
1,DB09039,DB09063
0,DB00576,DB00912
0,DB00818,DB08875
0,DB01579,DB08907
0,DB00983,DB01159
0,DB00530,DB09065
0,DB00059,DB00963
0,DB00126,DB01576
0,DB08867,DB09274
0,DB00836,DB08820
0,DB00538,DB01136
0,DB00542,DB01225
1,DB00246,DB09472
0,DB00346,DB00889
0,DB00470,DB01244
1,DB00091,DB08880
0,DB09074,DB11613
0,DB06335,DB09118
0,DB00524,DB00759
0,DB01021,DB06691
0,DB00327,DB01069
0,DB06708,DB11113
0,DB11967,DB13179
1,DB00261,DB06779
0,DB00275,DB00586
0,DB00331,DB00841
0,DB01105,DB06414
0,DB00774,DB09133
0,DB00092,DB00682
0,DB08882,DB09100
0,DB00227,DB00515
0,DB00191,DB00841
1,DB01018,DB11730
0,DB00186,DB00366
0,DB00981,DB11315
0,DB00673,DB00997
0,DB01109,DB01240
1,DB08881,DB12245
0,DB00808,DB01124
0,DB00726,DB00871
1,DB00051,DB00078
0,DB00887,DB01132
0,DB06287,DB06772
0,DB08871,DB10989
0,DB00791,DB09498
0,DB01246,DB09462
0,DB00226,DB00852
0,DB00665,DB01195
0,DB00255,DB00443
0,DB00945,DB01390
0,DB05773,DB15965
0,DB00540,DB00927
0,DB00849,DB09570
0,DB00015,DB00758
0,DB00280,DB00619
0,DB00052,DB12941
1,DB00051,DB01005
1,DB00078,DB00932
0,DB00209,DB01195
1,DB00570,DB01211
0,DB00408,DB01409
0,DB00196,DB00285
0,DB06589,DB15823
0,DB00912,DB00938
1,DB00363,DB08889
0,DB00414,DB14731
0,DB00433,DB06335
0,DB00788,DB11793
0,DB01309,DB01590
0,DB00342,DB00745
1,DB00199,DB00320
0,DB00675,DB09049
0,DB00863,DB01336
1,DB00063,DB00278
0,DB00515,DB00564
1,DB00963,DB08901
0,DB00401,DB11093
1,DB01041,DB01196
0,DB01045,DB09481
0,DB01364,DB06262
0,DB00158,DB01432
0,DB00052,DB00246
1,DB00374,DB08896
1,DB01192,DB09241
0,DB01014,DB15066
0,DB00938,DB01274
0,DB00207,DB08828
0,DB00060,DB00814
0,DB00241,DB09063
0,DB00986,DB00999
0,DB00007,DB08907
0,DB08880,DB15823
0,DB06589,DB14783
0,DB00279,DB00621
0,DB00054,DB00939
1,DB08826,DB09052
0,DB00185,DB09039
0,DB00188,DB01095
0,DB06343,DB06655
0,DB00468,DB08871
0,DB00023,DB00500
0,DB00581,DB00665
0,DB01232,DB11967
0,DB00255,DB01432
0,DB00661,DB08870
0,DB01344,DB14491
0,DB00697,DB00983
0,DB00330,DB00958
0,DB01097,DB01394
0,DB00008,DB00943
0,DB09498,DB13231
0,DB00698,DB09104
0,DB01274,DB12332
0,DB01142,DB01242
0,DB01232,DB09265
0,DB11003,DB11760
0,DB01165,DB09462
1,DB00056,DB12371
1,DB00342,DB01263
0,DB00283,DB00402
0,DB00197,DB00524
0,DB00581,DB01377
1,DB00009,DB06779
0,DB00352,DB01042
0,DB00107,DB00529
0,DB00862,DB05812
0,DB01396,DB08865
0,DB00222,DB00806
0,DB01098,DB09077
0,DB00605,DB00635
0,DB00692,DB00902
0,DB00393,DB01156
0,DB01136,DB08881
0,DB00707,DB01242
0,DB09077,DB14409
0,DB00700,DB01609
1,DB09134,DB15066
0,DB00026,DB00601
0,DB01224,DB13928
0,DB00367,DB01307
1,DB00762,DB01320
0,DB00475,DB06287
0,DB00204,DB01609
0,DB00035,DB00176
1,DB00605,DB12364
0,DB00916,DB11718
0,DB06215,DB14488
0,DB00209,DB00921
0,DB01156,DB01174
0,DB11853,DB12130
1,DB01169,DB09083
1,DB01101,DB10316
0,DB00278,DB01294
0,DB00374,DB01045
0,DB00909,DB11986
1,DB00648,DB11575
0,DB00009,DB00691
0,DB00784,DB13074
1,DB00397,DB04871
0,DB00880,DB11921
0,DB00343,DB00357
0,DB00052,DB00872
0,DB01115,DB06228
0,DB00987,DB14550
1,DB04865,DB15091
0,DB01041,DB11732
1,DB01254,DB14711
1,DB00635,DB10315
0,DB05015,DB12825
0,DB00041,DB00980
0,DB00555,DB01233
0,DB00635,DB00754
0,DB00011,DB00022
0,DB00237,DB00341
0,DB00106,DB00843
1,DB00709,DB08880
1,DB00697,DB08881
0,DB01278,DB08815
0,DB01281,DB10429
1,DB00252,DB09570
1,DB09063,DB11921
0,DB01069,DB09078
0,DB00813,DB14724
0,DB00374,DB00605
1,DB00508,DB00608
0,DB05812,DB09102
0,DB00515,DB01028
0,DB00736,DB09143
0,DB00252,DB01070
0,DB00327,DB00424
1,DB04871,DB06700
0,DB00083,DB00782
0,DB09420,DB14006
0,DB01196,DB13142
1,DB00242,DB06595
0,DB01016,DB01039
0,DB00321,DB05889
0,DB00642,DB00987
0,DB00997,DB01268
0,DB00977,DB09074
0,DB00222,DB01241
0,DB00059,DB01117
0,DB00030,DB01197
0,DB00694,DB11757
0,DB00983,DB08899
1,DB01227,DB12130
0,DB00633,DB01075
0,DB00514,DB00662
0,DB00620,DB14533
0,DB00647,DB04871
0,DB00095,DB14219
0,DB00672,DB09395
1,DB00333,DB00608
1,DB00365,DB01156
0,DB00792,DB01495
0,DB00373,DB09481
0,DB01118,DB01249
0,DB00595,DB01607
0,DB00857,DB01045
0,DB01006,DB09098
0,DB00305,DB10429
0,DB00327,DB00514
0,DB00705,DB04951
0,DB01656,DB09330
0,DB00136,DB00849
0,DB00843,DB11837
0,DB00812,DB01099
0,DB01234,DB08886
0,DB08907,DB12267
1,DB00862,DB09065
1,DB01609,DB08880
0,DB01224,DB08871
0,DB11057,DB11853
0,DB09061,DB11901
0,DB00335,DB01234
0,DB01268,DB09065
0,DB00396,DB00400
0,DB01223,DB14724
0,DB00060,DB06212
0,DB00434,DB11186
0,DB00515,DB00970
0,DB00731,DB01181
0,DB00193,DB00737
0,DB00962,DB01075
0,DB00413,DB00748
1,DB00586,DB08947
1,DB00001,DB12364
0,DB00635,DB01009
1,DB00571,DB00757
0,DB00719,DB01351
0,DB00461,DB06441
0,DB00749,DB00758
0,DB00780,DB00835
0,DB00526,DB00698
1,DB06708,DB11986
0,DB00290,DB14783
1,DB01142,DB08875
0,DB00054,DB00460
1,DB00428,DB01249
0,DB00431,DB00989
0,DB00983,DB08864
0,DB00030,DB00999
0,DB00849,DB05679
0,DB00175,DB01041
0,DB00641,DB11569
0,DB00007,DB00540
0,DB00197,DB09381
0,DB00087,DB00888
1,DB00636,DB00641
0,DB00559,DB00570
0,DB00808,DB09104
0,DB00916,DB04855
0,DB06283,DB06691
0,DB00762,DB08896
0,DB00047,DB09129
0,DB00404,DB11130
0,DB00222,DB06724
1,DB00712,DB09134
0,DB00749,DB00927
0,DB00929,DB09104
0,DB00289,DB00397
1,DB00978,DB14568
0,DB00461,DB13620
0,DB00197,DB01132
0,DB00222,DB00963
0,DB01132,DB09054
0,DB00019,DB00291
0,DB01075,DB01202
1,DB00078,DB06081
0,DB00958,DB01320
0,DB00243,DB08870
0,DB00295,DB01136
0,DB01060,DB09268
0,DB06684,DB09268
0,DB00087,DB14443
1,DB00242,DB01394
0,DB06707,DB12612
1,DB01280,DB12612
0,DB00388,DB13928
0,DB00501,DB00518
0,DB00295,DB00818
0,DB00542,DB00902
0,DB00196,DB00455
0,DB00512,DB00781
0,DB00222,DB00576
0,DB00734,DB01114
0,DB00343,DB12332
0,DB00549,DB06626
1,DB01142,DB01191
0,DB00030,DB00865
0,DB00563,DB06412
0,DB01225,DB01381
0,DB00649,DB00704
0,DB00559,DB15091
1,DB00752,DB01191
0,DB00425,DB01176
1,DB00679,DB06699
0,DB00086,DB00328
1,DB00343,DB01166
1,DB08889,DB08904
1,DB00363,DB00518
0,DB01309,DB12483
0,DB00605,DB09472
0,DB00486,DB09117
1,DB00358,DB08868
0,DB00958,DB01165
0,DB01262,DB15823
0,DB00784,DB09125
0,DB00446,DB00997
1,DB06448,DB12371
1,DB00701,DB09049
1,DB10343,DB11581
0,DB00361,DB11627
1,DB00014,DB00261
1,DB00220,DB00959
0,DB00291,DB10429
0,DB00580,DB06779
0,DB00091,DB01067
1,DB00738,DB09134
1,DB00388,DB09241
0,DB00277,DB01320
0,DB00748,DB01215
0,DB00443,DB00939
1,DB01246,DB06603
1,DB01142,DB09063
0,DB00221,DB00608
0,DB01206,DB01280
1,DB00908,DB01128
0,DB00026,DB01023
0,DB00934,DB01128
1,DB00243,DB00400
0,DB08912,DB11730
0,DB06210,DB09481
0,DB00188,DB01280
1,DB00068,DB01362
1,DB00242,DB00993
1,DB00977,DB01320
0,DB00107,DB13295
1,DB00574,DB00579
0,DB00731,DB08886
0,DB00813,DB09272
0,DB00397,DB01255
0,DB00351,DB01124
0,DB10795,DB11988
0,DB04868,DB08908
0,DB00747,DB04908
0,DB00448,DB00705
0,DB00288,DB00912
0,DB00331,DB01406
1,DB00541,DB14711
0,DB00779,DB01005
1,DB00369,DB09135
0,DB05679,DB14240
1,DB00656,DB01113
0,DB09237,DB11767
0,DB00187,DB00501
0,DB01041,DB12834
0,DB00175,DB09272
0,DB00705,DB06605
0,DB08904,DB11989
0,DB00745,DB04845
0,DB00637,DB00989
0,DB01248,DB14575
0,DB00052,DB05773
0,DB01200,DB08820
1,DB05015,DB08904
0,DB01116,DB11130
0,DB00549,DB00704
0,DB00748,DB09071
0,DB00243,DB00581
0,DB00335,DB01284
0,DB11979,DB12941
1,DB00307,DB00977
1,DB04896,DB09241
0,DB00261,DB00818
1,DB11642,DB13074
1,DB05773,DB08896
1,DB00382,DB12612
0,DB00999,DB06724
1,DB00904,DB01142
0,DB00937,DB01124
0,DB01222,DB11595
0,DB00458,DB01268
0,DB00019,DB00480
0,DB01036,DB11730
0,DB01105,DB04948
1,DB00363,DB11760
1,DB00554,DB09075
0,DB01059,DB09080
1,DB00005,DB00773
0,DB00331,DB08930
0,DB00289,DB11901
1,DB00365,DB01069
0,DB00985,DB09076
1,DB00850,DB08868
0,DB00361,DB09498
0,DB01619,DB06691
0,DB01105,DB01174
0,DB00214,DB00871
1,DB01259,DB04946
1,DB01590,DB13896
0,DB00358,DB00960
0,DB01159,DB01609
0,DB00065,DB01320
0,DB00346,DB01064
1,DB00363,DB06772
0,DB11003,DB12332
1,DB01211,DB11718
0,DB00839,DB09045
0,DB00819,DB00938
0,DB00623,DB09472
0,DB00257,DB00285
0,DB00225,DB01136
0,DB08865,DB14240
0,DB04951,DB09039
1,DB00780,DB01105
1,DB06404,DB08889
0,DB00934,DB11315
1,DB00338,DB00864
0,DB00738,DB01274
0,DB09068,DB09291
0,DB00660,DB01181
1,DB01026,DB04946
0,DB01001,DB01238
0,DB01067,DB01319
0,DB00876,DB12612
0,DB00752,DB01119
1,DB01041,DB01206
0,DB00496,DB01191
0,DB00030,DB14509
0,DB01023,DB06480
0,DB00408,DB00856
0,DB00956,DB06674
1,DB00482,DB00855
0,DB00357,DB11718
0,DB06824,DB09481
0,DB00521,DB13231
1,DB00608,DB01142
0,DB01097,DB10795
0,DB00601,DB00682
0,DB00849,DB06626
0,DB00346,DB11113
0,DB01043,DB01246
0,DB00218,DB08882
0,DB01309,DB06655
0,DB08904,DB15465
0,DB01067,DB01234
0,DB00213,DB01045
1,DB00271,DB00963
0,DB00889,DB09054
0,DB00912,DB01191
0,DB06650,DB16646
1,DB00897,DB01026
0,DB00981,DB01359
0,DB00434,DB00707
0,DB00199,DB09481
0,DB00861,DB09268
0,DB06287,DB08909
0,DB00428,DB01155
